Section ID,Defect Type,Severity,Area Affected (%),Notes,Photo
1,Longitudinal Crack,Medium,1.4,,
1,Bleeding/Flushing,Low,17.6,,
1,Depression/Sag,High,12.4,,
2,Patching (Failed),Medium,7.0,,
2,Longitudinal Crack,Medium,12.0,,
3,Longitudinal Crack,Medium,3.7,,
4,Alligator (Fatigue) Crack,Medium,14.1,,
4,Potholes,Medium,5.8,,
4,Raveling,Low,22.6,,
5,Bleeding/Flushing,Low,15.9,,
5,Raveling,High,5.6,,
6,Bleeding/Flushing,High,6.9,,
6,Bleeding/Flushing,Low,36.8,,
6,Potholes,Medium,4.7,,
7,Longitudinal Crack,Medium,24.8,,
7,Alligator (Fatigue) Crack,Medium,12.2,,
7,Depression/Sag,Medium,7.5,,
7,Patching (Failed),Low,21.3,,
8,Raveling,Low,27.6,,
8,Potholes,Medium,3.1,,
9,Alligator (Fatigue) Crack,Low,1.8,,
9,Rut/Rutting,High,1.0,,
10,Raveling,Medium,3.3,,
10,Bleeding/Flushing,High,2.7,,
